profile	package	path	status
oracledb-minimal	oracledb	docs/baseline/public_api/oracledb-minimal.txt	ok
oracledb-default	oracledb	docs/baseline/public_api/oracledb-default.txt	ok
oracledb-all-features	oracledb	docs/baseline/public_api/oracledb-all-features.txt	ok
oracledb-chrono	oracledb	docs/baseline/public_api/oracledb-chrono.txt	ok
oracledb-uuid	oracledb	docs/baseline/public_api/oracledb-uuid.txt	ok
oracledb-serde_json	oracledb	docs/baseline/public_api/oracledb-serde_json.txt	ok
oracledb-rust_decimal	oracledb	docs/baseline/public_api/oracledb-rust_decimal.txt	ok
oracledb-arrow	oracledb	docs/baseline/public_api/oracledb-arrow.txt	ok
oracledb-soda	oracledb	docs/baseline/public_api/oracledb-soda.txt	ok
oracledb-tracing	oracledb	docs/baseline/public_api/oracledb-tracing.txt	ok
protocol-default	oracledb-protocol	docs/baseline/public_api/protocol-default.txt	ok
protocol-all-features	oracledb-protocol	docs/baseline/public_api/protocol-all-features.txt	ok
