crate	path	item
oracledb	crates/oracledb/src/arrow/builders.rs	pub fn build_record_batch(
oracledb	crates/oracledb/src/arrow/builders.rs	pub fn build_record_batch_columnar(
oracledb	crates/oracledb/src/arrow/builders.rs	pub fn build_record_batch_with_schema(
oracledb	crates/oracledb/src/arrow/builders.rs	pub fn decimal128_to_string(unscaled: i128, scale: i8) -> String {
oracledb	crates/oracledb/src/arrow/builders.rs	pub(super) fn append_borrowed(
oracledb	crates/oracledb/src/arrow/builders.rs	pub(super) fn append_owned(&mut self, rows: &[Vec<Option<QueryValue>>]) -> Result<()> {
oracledb	crates/oracledb/src/arrow/builders.rs	pub(super) fn columnar_supported(schema: &Schema) -> bool {
oracledb	crates/oracledb/src/arrow/builders.rs	pub(super) fn decimal128_from_number_text(text: &str, scale: i8) -> Option<i128> {
oracledb	crates/oracledb/src/arrow/builders.rs	pub(super) fn finish(self) -> Result<RecordBatch> {
oracledb	crates/oracledb/src/arrow/builders.rs	pub(super) fn new(
oracledb	crates/oracledb/src/arrow/builders.rs	pub(super) struct ColumnarBatchBuilder {
oracledb	crates/oracledb/src/arrow/direct_path.rs	pub fn record_batch_to_direct_path_rows(
oracledb	crates/oracledb/src/arrow/ipc.rs	pub fn record_batch_to_ipc(batch: &RecordBatch) -> Result<Vec<u8>> {
oracledb	crates/oracledb/src/arrow/mod.rs	pub async fn fetch_all_record_batch(
oracledb	crates/oracledb/src/arrow/mod.rs	pub async fn fetch_all_record_batch_columnar(
oracledb	crates/oracledb/src/arrow/mod.rs	pub async fn fetch_record_batches(
oracledb	crates/oracledb/src/arrow/mod.rs	pub async fn next_batch(
oracledb	crates/oracledb/src/arrow/mod.rs	pub enum ArrowConversionError {
oracledb	crates/oracledb/src/arrow/mod.rs	pub enum VectorFormat {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn fetch_all_record_batch(
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn fetch_all_record_batch_columnar(
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn fetch_decimals(&self) -> bool {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn fetch_record_batches(
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn new() -> Self {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn next_record_batch(
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn requested_schema(&self) -> Option<&SchemaRef> {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn schema(&self) -> SchemaRef {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn vector_fixed_size_list(&self) -> bool {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn with_fetch_decimals(mut self, enabled: bool) -> Self {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn with_requested_schema(mut self, schema: SchemaRef) -> Self {
oracledb	crates/oracledb/src/arrow/mod.rs	pub fn with_vector_fixed_size_list(mut self, enabled: bool) -> Self {
oracledb	crates/oracledb/src/arrow/mod.rs	pub struct ArrowFetchOptions {
oracledb	crates/oracledb/src/arrow/mod.rs	pub struct RecordBatchFetch {
oracledb	crates/oracledb/src/arrow/mod.rs	pub use builders::{
oracledb	crates/oracledb/src/arrow/mod.rs	pub use direct_path::record_batch_to_direct_path_rows;
oracledb	crates/oracledb/src/arrow/mod.rs	pub use ipc::record_batch_to_ipc;
oracledb	crates/oracledb/src/arrow/mod.rs	pub use schema::{
oracledb	crates/oracledb/src/arrow/schema.rs	pub fn arrow_define_columns(columns: &[ColumnMetadata]) -> Vec<ColumnMetadata> {
oracledb	crates/oracledb/src/arrow/schema.rs	pub fn arrow_schema_for_columns(
oracledb	crates/oracledb/src/arrow/schema.rs	pub fn arrow_type_name(data_type: &DataType) -> String {
oracledb	crates/oracledb/src/arrow/schema.rs	pub fn check_convert_from_arrow(arrow_type: &DataType, column: &ColumnMetadata) -> Result<()> {
oracledb	crates/oracledb/src/arrow/schema.rs	pub fn db_type_name(column: &ColumnMetadata) -> String {
oracledb	crates/oracledb/src/arrow/schema.rs	pub fn vector_arrow_type(format: VectorFormat, sparse: bool) -> DataType {
oracledb	crates/oracledb/src/arrow/schema.rs	pub fn vector_fixed_size_list_type(format: VectorFormat, dim: i32) -> DataType {
oracledb	crates/oracledb/src/arrow/schema.rs	pub(super) const ORA_TYPE_NUM_VECTOR: u8 = 127;
