name	version	license	source
aead	0.5.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
aes	0.8.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
aes-gcm	0.10.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
ahash	0.7.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ahash	0.8.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
allocator-api2	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
android_system_properties	0.1.5	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
anyhow	1.0.102	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arrayvec	0.7.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arrow-array	59.0.0	Apache-2.0 AND MIT	registry+https://github.com/rust-lang/crates.io-index
arrow-buffer	59.0.0	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arrow-data	59.0.0	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
arrow-schema	59.0.0	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
asn1-rs	0.7.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
asn1-rs-derive	0.6.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
asn1-rs-impl	0.2.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
asupersync	0.3.4	LicenseRef-MIT-OpenAI-Anthropic-Rider	registry+https://github.com/rust-lang/crates.io-index
asupersync-macros	0.3.4	LicenseRef-MIT-OpenAI-Anthropic-Rider	registry+https://github.com/rust-lang/crates.io-index
autocfg	1.5.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
base64	0.22.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
base64ct	1.8.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
bincode-next	2.1.0	MIT or Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bincode_derive-next	2.1.0	MIT	registry+https://github.com/rust-lang/crates.io-index
bitflags	2.13.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bitvec	1.0.1	MIT	registry+https://github.com/rust-lang/crates.io-index
block-buffer	0.10.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
block-buffer	0.12.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
block-padding	0.3.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
borsh	1.6.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
borsh-derive	1.6.1	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bumpalo	3.20.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
bytecheck	0.6.12	MIT	registry+https://github.com/rust-lang/crates.io-index
bytecheck_derive	0.6.12	MIT	registry+https://github.com/rust-lang/crates.io-index
bytes	1.11.1	MIT	registry+https://github.com/rust-lang/crates.io-index
cbc	0.1.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cc	1.2.63	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cfg-if	1.0.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cfg_aliases	0.2.1	MIT	registry+https://github.com/rust-lang/crates.io-index
chacha20	0.9.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
chacha20poly1305	0.10.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
chrono	0.4.45	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cipher	0.4.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cmov	0.5.4	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
concurrent-queue	2.5.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
const-oid	0.10.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
const-oid	0.9.6	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
const-random	0.1.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
const-random-macro	0.1.16	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
core-foundation-sys	0.8.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cpufeatures	0.2.17	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
cpufeatures	0.3.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crc32fast	1.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crossbeam-deque	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crossbeam-epoch	0.9.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crossbeam-queue	0.3.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crossbeam-utils	0.8.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crunchy	0.2.4	MIT	registry+https://github.com/rust-lang/crates.io-index
crypto-common	0.1.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
crypto-common	0.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ctr	0.9.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ctutils	0.4.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
curve25519-dalek	4.1.3	BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
curve25519-dalek-derive	0.1.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
data-encoding	2.11.0	MIT	registry+https://github.com/rust-lang/crates.io-index
der	0.7.10	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
der-parser	10.0.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
der_derive	0.7.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
deranged	0.5.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
digest	0.10.7	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
digest	0.11.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
displaydoc	0.2.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ed25519	2.2.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
ed25519-dalek	2.2.0	BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
either	1.16.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
equivalent	1.0.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
errno	0.3.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
fastrand	2.4.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
fiat-crypto	0.2.9	MIT OR Apache-2.0 OR BSD-1-Clause	registry+https://github.com/rust-lang/crates.io-index
find-msvc-tools	0.1.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
flagset	0.4.7	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
foldhash	0.1.5	Zlib	registry+https://github.com/rust-lang/crates.io-index
foldhash	0.2.0	Zlib	registry+https://github.com/rust-lang/crates.io-index
franken-decision	0.3.4	LicenseRef-MIT-OpenAI-Anthropic-Rider	registry+https://github.com/rust-lang/crates.io-index
franken-evidence	0.3.4	LicenseRef-MIT-OpenAI-Anthropic-Rider	registry+https://github.com/rust-lang/crates.io-index
franken-kernel	0.3.4	LicenseRef-MIT-OpenAI-Anthropic-Rider	registry+https://github.com/rust-lang/crates.io-index
funty	2.0.0	MIT	registry+https://github.com/rust-lang/crates.io-index
futures-core	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-io	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-lite	2.6.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
futures-task	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
futures-util	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
generic-array	0.14.7	MIT	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.2.17	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.3.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
getrandom	0.4.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ghash	0.5.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
half	2.7.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.12.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.15.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hashbrown	0.17.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
heck	0.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hermit-abi	0.5.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hex	0.4.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hkdf	0.12.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hmac	0.12.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hmac	0.13.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
hybrid-array	0.4.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone	0.1.65	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
id-arena	2.3.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
indexmap	2.14.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
inout	0.1.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itertools	0.14.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
itoa	1.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
js-sys	0.3.100	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
lazy_static	1.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
leb128fmt	0.1.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
libc	0.2.186	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
libm	0.2.16	MIT	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
lock_api	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
log	0.4.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
md-5	0.10.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
memchr	2.8.1	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
memoffset	0.9.1	MIT	registry+https://github.com/rust-lang/crates.io-index
minimal-lexical	0.2.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
nix	0.31.3	MIT	registry+https://github.com/rust-lang/crates.io-index
nkeys	0.4.5	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
nom	7.1.3	MIT	registry+https://github.com/rust-lang/crates.io-index
ntapi	0.4.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
num-bigint	0.4.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-complex	0.4.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-conv	0.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-integer	0.1.46	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-traits	0.2.19	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
oid-registry	0.8.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
once_cell	1.21.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
opaque-debug	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
oracledb	0.7.3	MIT OR Apache-2.0	local
oracledb-derive	0.7.3	MIT OR Apache-2.0	local
oracledb-protocol	0.7.3	MIT OR Apache-2.0	local
parking	2.2.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
parking_lot	0.12.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
parking_lot_core	0.9.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pbkdf2	0.12.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pem-rfc7468	0.7.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pin-project	1.1.13	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pin-project-internal	1.1.13	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pin-project-lite	0.2.17	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pkcs8	0.10.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
polling	3.11.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
poly1305	0.8.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
polyval	0.6.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
powerfmt	0.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ppv-lite86	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prettyplease	0.2.37	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
proc-macro-crate	3.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
proc-macro2	1.0.106	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost	0.14.4	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-derive	0.14.4	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
